id,제목,저자,출판사,ISBN,도서관_id
37,머신러닝개정판,권민지,학지사,978-89-2465-547-4,2
38,환경과학제5판,오민지,인사이트,978-89-8840-261-2,1
39,모바일앱개발,홍재원,에이콘,978-89-1594-490-5,1
40,환경과학제3판,강지훈,민음사,978-89-1820-356-1,3
41,마케팅관리론개정판,정지은,위키북스,978-89-8141-385-2,1
42,사회학개론제5판,강재원,길벗,978-89-4798-992-1,3
43,컴퓨터네트워크,강지은,법문사,978-89-8704-533-2,1
44,알고리즘개론제4판,홍건우,길벗,978-89-2103-891-1,2
45,일반화학,최도윤,박영사,978-89-7044-840-2,1
46,컴퓨터비전제4판,윤서윤,한빛미디어,978-89-6332-975-2,2
47,딥러닝제3판,안재원,한빛미디어,978-89-7452-238-2,1
48,인공지능제4판,정은지,민음사,978-89-7016-687-4,2
49,경영학원론개정판,강건우,길벗,978-89-5066-265-9,1
50,데이터베이스시스템개정판,정민수,인사이트,978-89-8549-641-7,3
51,심리학개론,송채원,학지사,978-89-9602-577-8,2
52,클라우드컴퓨팅,서도윤,인사이트,978-89-9576-517-2,3
53,머신러닝제4판,이성호,길벗,978-89-7021-962-4,1
54,클라우드컴퓨팅개정판,서준혁,인사이트,978-89-7121-124-5,2
55,유기화학제3판,조하은,위키북스,978-89-8371-985-9,3
56,이산수학제5판,서은지,위키북스,978-89-1268-332-7,2
57,머신러닝개정판,권건우,박영사,978-89-7087-309-7,1
58,사회학개론제3판,윤현우,길벗,978-89-5840-483-0,2
59,교육학개론개정판,신지훈,민음사,978-89-5816-463-8,3
60,인공지능제3판,황지훈,교문사,978-89-6430-298-4,3
61,일반물리학제3판,최현우,법문사,978-89-5417-161-0,3
62,생명과학개론,오민수,박영사,978-89-7609-442-9,2
63,서양철학사,한지은,교문사,978-89-1834-920-8,3
64,확률과통계개정판,황하은,법문사,978-89-1592-782-8,3
65,웹프로그래밍,박현우,학지사,978-89-6409-776-7,3
66,재무관리제4판,정도윤,에이콘,978-89-2526-731-6,2
67,심리학개론제4판,이영희,인사이트,978-89-1198-236-3,2
68,웹프로그래밍제4판,신서윤,위키북스,978-89-7994-660-9,2
69,생명과학개론제3판,박미영,한빛미디어,978-89-5350-844-7,1
70,환경과학개정판,강민지,박영사,978-89-2871-181-7,2
71,정보보안제5판,황태현,민음사,978-89-9977-933-5,3
72,한국현대문학,정예은,민음사,978-89-9520-798-4,3
73,경영학원론제4판,김하은,박영사,978-89-5459-436-8,2
74,머신러닝개정판,이우진,인사이트,978-89-5221-209-2,3
75,환경과학제4판,윤승민,위키북스,978-89-2615-814-8,3
76,동양철학개론개정판,서하은,민음사,978-89-6426-406-1,1
77,일반물리학,황민지,길벗,978-89-6143-158-6,2
78,정치학개론제4판,신유진,한빛미디어,978-89-6468-479-1,2
79,경영학원론개정판,황민지,학지사,978-89-4506-515-6,1
80,인사조직론제4판,홍서윤,위키북스,978-89-6506-263-9,2
81,모바일앱개발개정판,박수진,길벗,978-89-2348-915-0,1
82,컴퓨터비전개정판,황은호,길벗,978-89-3488-152-0,2
83,일반화학제3판,정지은,교문사,978-89-6853-782-9,1
84,운영체제제4판,임동현,길벗,978-89-1638-696-1,1
85,정보보안제3판,조서윤,위키북스,978-89-7403-943-7,1
86,재무관리,임다은,법문사,978-89-2174-951-9,2
87,이산수학제3판,권다은,인사이트,978-89-3578-758-8,1
88,머신러닝,윤건우,인사이트,978-89-1524-502-5,3
89,일반물리학개정판,권서연,법문사,978-89-6020-400-6,2
90,경영학원론제5판,한성호,에이콘,978-89-8557-252-2,1
91,선형대수학제3판,류은호,길벗,978-89-3419-210-7,1
92,수치해석제3판,임도윤,교문사,978-89-6242-693-3,3
93,인공지능개정판,신수진,법문사,978-89-5956-826-3,2
94,운영체제제5판,강준혁,에이콘,978-89-6653-167-0,1
95,마케팅관리론개정판,강하준,박영사,978-89-8594-774-6,3
96,한국현대문학개정판,정하준,교문사,978-89-7919-774-5,3
97,일반화학제3판,강태현,학지사,978-89-2527-598-5,1
98,운영체제제4판,윤재원,민음사,978-89-9115-384-3,3
99,일반화학개정판,이도윤,한빛미디어,978-89-6910-828-5,3
100,동양철학개론제5판,김수진,박영사,978-89-9209-306-3,1
101,영미문학개론,장재원,학지사,978-89-9662-704-9,3
102,유기화학개정판,이승민,민음사,978-89-9964-397-8,2
103,운영체제제5판,한민수,학지사,978-89-2028-585-6,2
104,클라우드컴퓨팅,윤민지,교문사,978-89-4651-560-4,2
105,운영체제제4판,류태현,학지사,978-89-5347-104-8,1
106,운영체제제4판,권은지,학지사,978-89-1036-540-0,1
107,재무관리,송하은,한빛미디어,978-89-9220-989-4,3
108,컴퓨터네트워크개정판,류성호,법문사,978-89-5711-898-1,1
109,한국사개설,한미영,법문사,978-89-4281-114-6,1
110,영미문학개론제4판,황민수,길벗,978-89-3127-867-4,1
111,인사조직론제5판,신미영,학지사,978-89-4343-846-2,2
112,미적분학제5판,임소희,법문사,978-89-2123-178-2,1
113,데이터구조론제4판,박도윤,인사이트,978-89-3932-216-7,2
114,확률과통계,송승민,법문사,978-89-3000-592-9,2
115,선형대수학제5판,박서연,위키북스,978-89-7355-925-3,3
116,마케팅관리론제3판,홍서윤,길벗,978-89-2039-266-2,2
117,일반물리학,송성호,박영사,978-89-6757-130-5,2
118,정치학개론제3판,안도윤,학지사,978-89-4479-271-3,3
119,인공지능,박채원,에이콘,978-89-9099-670-7,2
120,한국현대문학제5판,조은호,한빛미디어,978-89-1596-563-3,1
121,웹프로그래밍제5판,김예은,교문사,978-89-6549-525-0,2
122,교육학개론제3판,정하준,길벗,978-89-9528-674-1,3
123,이산수학개정판,황소희,법문사,978-89-6582-222-9,1
124,한국현대문학제4판,임소희,학지사,978-89-5807-139-1,1
125,회계원리제4판,장하준,학지사,978-89-3507-387-5,2
126,데이터베이스시스템,오지훈,박영사,978-89-6052-856-4,2
127,알고리즘개론제3판,임동현,위키북스,978-89-2524-990-2,3
128,클라우드컴퓨팅,최서연,길벗,978-89-2559-370-5,2
129,확률과통계제4판,류성호,민음사,978-89-2291-337-0,2
130,회계원리,송민지,길벗,978-89-9993-691-8,2
131,소프트웨어공학제5판,최은호,학지사,978-89-1667-419-6,1
132,영미문학개론제5판,이현우,길벗,978-89-2545-702-0,1
133,인공지능제3판,황서윤,교문사,978-89-7651-654-1,2
134,일반물리학,송은호,에이콘,978-89-2343-442-2,1
135,웹프로그래밍제3판,김유진,에이콘,978-89-3075-273-8,1
136,사회학개론제3판,안은호,인사이트,978-89-4072-604-8,1
137,컴퓨터네트워크개정판,조다은,학지사,978-89-4153-944-8,2
138,서양철학사제4판,서우진,학지사,978-89-5713-375-3,3
139,확률과통계개정판,장시우,민음사,978-89-9153-101-1,2
140,모바일앱개발제4판,장건우,위키북스,978-89-4020-933-9,1
141,경영학원론제4판,이은지,에이콘,978-89-1762-848-1,3
142,심리학개론제4판,조태현,길벗,978-89-1046-767-3,3
143,확률과통계제3판,신수진,교문사,978-89-4380-557-2,1
144,확률과통계제5판,한하은,학지사,978-89-9501-796-4,2
145,유기화학제4판,조준혁,교문사,978-89-4080-990-3,2
146,머신러닝제5판,신영희,인사이트,978-89-1050-543-7,1
147,컴퓨터네트워크제3판,권재원,인사이트,978-89-4339-523-1,2
148,수치해석제5판,장미영,학지사,978-89-1225-584-8,1
149,모바일앱개발개정판,오지은,에이콘,978-89-8362-305-4,2
150,한국사개설제5판,강유진,에이콘,978-89-8178-236-0,1
151,머신러닝개정판,윤소희,법문사,978-89-3370-212-4,3
152,동양철학개론,장건우,길벗,978-89-5453-982-8,2
153,심리학개론제3판,박우진,길벗,978-89-4952-389-4,1
154,소프트웨어공학,류서윤,법문사,978-89-3997-742-7,3
155,데이터구조론제4판,김동현,법문사,978-89-7876-681-5,1
156,인공지능제4판,강수진,인사이트,978-89-7960-357-4,3
157,유기화학개정판,홍우진,민음사,978-89-6847-198-6,2
158,정보보안제4판,윤동현,한빛미디어,978-89-6507-465-7,1
159,컴퓨터비전제5판,황은지,학지사,978-89-1269-806-1,1
160,웹프로그래밍제4판,윤하은,한빛미디어,978-89-4358-578-6,3
161,데이터베이스시스템제3판,송승민,위키북스,978-89-4616-855-3,1
162,동양철학개론제3판,이태현,한빛미디어,978-89-7703-223-4,3
163,모바일앱개발개정판,조지훈,교문사,978-89-4878-726-1,1
164,마케팅관리론,송채원,에이콘,978-89-1723-587-4,3
165,일반물리학제3판,황하준,에이콘,978-89-7747-438-1,1
166,딥러닝,윤민지,민음사,978-89-5549-100-6,3
167,서양철학사제5판,권소희,위키북스,978-89-1440-856-1,3
168,웹프로그래밍제3판,장성호,위키북스,978-89-3571-339-0,3
169,일반화학제4판,조성호,위키북스,978-89-5833-571-0,3
170,법학개론제4판,홍현우,한빛미디어,978-89-2931-843-3,2
171,회계원리개정판,정건우,길벗,978-89-3606-585-6,1
172,일반물리학제5판,이소희,위키북스,978-89-7887-211-1,1
173,생명과학개론제3판,정하은,길벗,978-89-8120-334-2,2
174,자연어처리,안은호,민음사,978-89-6407-563-2,3
175,컴퓨터비전,조승민,학지사,978-89-3820-725-7,2
176,한국현대문학제5판,홍성호,한빛미디어,978-89-4215-515-4,2
177,컴퓨터비전개정판,박지유,민음사,978-89-2889-915-2,1
178,환경과학,최소희,박영사,978-89-7465-765-9,3
179,이산수학제3판,안미영,법문사,978-89-4797-918-2,1
180,컴퓨터네트워크,홍소희,길벗,978-89-4956-651-8,1
181,영미문학개론,송지훈,인사이트,978-89-5278-440-8,1
182,일반화학제3판,신유진,에이콘,978-89-3289-922-3,3
183,선형대수학,정다은,박영사,978-89-2170-532-8,1
184,한국현대문학개정판,강예은,인사이트,978-89-6532-130-0,1
185,알고리즘개론제3판,김지훈,교문사,978-89-3702-875-9,1
186,선형대수학제4판,황서윤,길벗,978-89-8192-902-8,3
187,동양철학개론제3판,홍민수,위키북스,978-89-6789-420-6,3
188,확률과통계,임도윤,인사이트,978-89-5273-263-1,3
189,수치해석,류소희,박영사,978-89-5705-602-8,1
190,수치해석제4판,임재원,민음사,978-89-1695-421-6,2
191,운영체제,신승민,한빛미디어,978-89-1723-713-0,1
192,마케팅관리론제4판,서서연,교문사,978-89-2453-470-8,2
193,자연어처리제4판,서준혁,민음사,978-89-3014-341-6,1
194,재무관리,윤동현,교문사,978-89-1802-474-4,1
195,웹프로그래밍개정판,이소희,한빛미디어,978-89-8696-154-6,1
196,경영학원론개정판,홍지유,민음사,978-89-8537-732-5,1
197,정보보안,강현우,길벗,978-89-1994-374-0,1
198,심리학개론제5판,안수진,법문사,978-89-9671-856-0,2
199,마케팅관리론제4판,송유진,박영사,978-89-5079-628-3,2
200,유기화학,박준혁,인사이트,978-89-4968-258-1,1
201,심리학개론,임채원,위키북스,978-89-9547-685-4,2
202,회계원리제4판,김은지,학지사,978-89-3138-477-8,2
203,생명과학개론제3판,임도윤,인사이트,978-89-2346-573-0,2
204,인사조직론개정판,강서연,교문사,978-89-5761-987-0,1
205,심리학개론제4판,오동현,법문사,978-89-4063-400-3,3
206,알고리즘개론제3판,황준혁,인사이트,978-89-7736-911-4,2
207,딥러닝,안재원,한빛미디어,978-89-4700-848-1,2
208,경영학원론,안재원,위키북스,978-89-5512-439-2,2
209,정보보안제3판,한영희,인사이트,978-89-1942-973-4,1
210,생명과학개론제4판,조도윤,교문사,978-89-4183-948-8,2
211,모바일앱개발제5판,최준혁,에이콘,978-89-3316-925-1,1
212,미적분학,권재원,박영사,978-89-3027-657-0,3
213,유기화학제4판,류지훈,에이콘,978-89-9070-321-2,2
214,한국현대문학제4판,이은호,학지사,978-89-1569-840-1,1
215,정보보안,황도윤,교문사,978-89-7378-197-7,3
216,사회학개론,안은호,한빛미디어,978-89-1174-289-3,1
217,알고리즘개론,최동현,학지사,978-89-2835-662-2,3
218,자연어처리제3판,윤건우,학지사,978-89-6469-583-7,2
219,인사조직론,최채원,학지사,978-89-1050-735-3,2
220,동양철학개론,오현우,한빛미디어,978-89-2249-418-9,1
221,확률과통계,류지은,길벗,978-89-9834-399-3,1
222,심리학개론,황동현,한빛미디어,978-89-3282-874-6,1
223,일반물리학제4판,조다은,민음사,978-89-9287-251-1,1
224,법학개론제5판,한동현,학지사,978-89-2257-194-4,1
225,인사조직론제4판,안소희,학지사,978-89-1702-949-5,3
226,알고리즘개론제5판,윤유진,학지사,978-89-8023-545-0,3
227,미적분학제3판,정하은,한빛미디어,978-89-1690-297-0,3
228,생명과학개론제5판,서준혁,민음사,978-89-2448-937-0,2
229,수치해석개정판,박동현,에이콘,978-89-2637-279-3,2
230,영미문학개론제5판,이하준,학지사,978-89-9340-663-2,2
231,웹프로그래밍제3판,황시우,박영사,978-89-7954-881-8,3
232,수치해석,조재원,인사이트,978-89-5757-867-0,1
233,경영학원론제5판,송민수,법문사,978-89-8330-898-3,2
234,회계원리제4판,황지유,법문사,978-89-9660-239-6,1
235,생명과학개론제4판,오다은,길벗,978-89-1874-204-5,2
236,알고리즘개론,이재원,교문사,978-89-2062-922-4,2
237,웹프로그래밍제4판,김건우,박영사,978-89-5181-696-2,2
238,클라우드컴퓨팅,홍시우,학지사,978-89-7158-990-4,3
239,클라우드컴퓨팅,권지훈,법문사,978-89-5842-248-8,2
240,모바일앱개발개정판,류은지,위키북스,978-89-6412-678-1,2
241,알고리즘개론,임우진,민음사,978-89-4185-279-3,1
242,일반화학제4판,임도윤,위키북스,978-89-8043-513-9,3
243,컴퓨터네트워크개정판,홍건우,한빛미디어,978-89-8749-258-6,3
244,확률과통계개정판,신은호,한빛미디어,978-89-8241-278-3,2
245,소프트웨어공학제4판,안다은,에이콘,978-89-6337-786-9,2
246,경영학원론,정예은,법문사,978-89-1286-956-4,1
247,서양철학사개정판,최현우,민음사,978-89-8113-449-0,3
248,수치해석개정판,류도윤,교문사,978-89-9921-792-2,2
249,재무관리제3판,송준혁,민음사,978-89-7198-452-6,3
250,데이터베이스시스템제4판,김소희,박영사,978-89-7978-200-2,1
251,자연어처리제5판,류동현,길벗,978-89-5127-963-3,2
252,심리학개론,정은지,민음사,978-89-6091-970-8,2
253,운영체제제3판,강유진,에이콘,978-89-1016-106-8,2
254,클라우드컴퓨팅개정판,서지훈,한빛미디어,978-89-2913-953-6,3
255,유기화학제3판,박예은,에이콘,978-89-6486-943-0,1
256,데이터베이스시스템개정판,안영희,민음사,978-89-5575-182-4,3
257,클라우드컴퓨팅제3판,한영희,박영사,978-89-7681-892-2,3
258,자연어처리제4판,류승민,학지사,978-89-3353-151-5,1
259,재무관리제5판,김은호,박영사,978-89-8219-553-9,2
260,심리학개론제4판,이건우,박영사,978-89-3289-843-6,2
261,이산수학,정서연,한빛미디어,978-89-2508-863-7,3
262,인공지능개정판,이미영,민음사,978-89-2094-887-4,1
263,심리학개론,송태현,길벗,978-89-4199-303-3,2
264,환경과학제3판,정민지,교문사,978-89-6863-832-2,1
265,서양철학사개정판,최승민,법문사,978-89-2296-575-0,1
266,일반물리학제3판,박다은,위키북스,978-89-1007-488-1,1
267,정치학개론제4판,안예은,교문사,978-89-3168-578-7,3
268,웹프로그래밍제5판,서수진,에이콘,978-89-4575-558-1,3
269,컴퓨터비전제5판,임태현,민음사,978-89-1805-843-2,3
270,한국현대문학제3판,정지유,학지사,978-89-5817-622-0,1
271,정치학개론제5판,임영희,에이콘,978-89-8401-309-4,1
272,심리학개론개정판,송수진,위키북스,978-89-8589-858-7,3
273,딥러닝제4판,강지훈,한빛미디어,978-89-3645-754-1,2
274,모바일앱개발,강수진,에이콘,978-89-5277-631-6,1
275,웹프로그래밍,한채원,박영사,978-89-8175-339-6,1
276,컴퓨터비전제4판,최지유,법문사,978-89-3903-656-5,2
277,알고리즘개론제5판,윤우진,박영사,978-89-1375-604-9,3
278,정치학개론개정판,최승민,박영사,978-89-2000-512-7,1
279,심리학개론,정지유,한빛미디어,978-89-6981-882-0,2
280,컴퓨터비전제4판,박예은,위키북스,978-89-3956-329-5,2
281,일반물리학제3판,서예은,교문사,978-89-1243-895-5,3
282,법학개론제3판,장준혁,민음사,978-89-3463-850-1,3
283,일반화학제3판,류현우,교문사,978-89-7519-567-9,1
284,소프트웨어공학,송도윤,인사이트,978-89-4853-540-9,3
285,컴퓨터비전제5판,송지유,한빛미디어,978-89-3594-229-0,2
286,운영체제,윤예은,법문사,978-89-8096-836-9,3
287,마케팅관리론,임시우,위키북스,978-89-5884-720-5,3
288,정보보안,송시우,길벗,978-89-2376-390-5,2
289,컴퓨터비전,권서윤,한빛미디어,978-89-8231-193-5,1
290,경영학원론,서승민,학지사,978-89-8825-300-8,3
291,일반화학제3판,홍승민,인사이트,978-89-7233-898-1,3
292,데이터베이스시스템개정판,황다은,법문사,978-89-9068-493-8,1
293,정보보안,신재원,박영사,978-89-3521-957-2,2
294,자연어처리,조유진,한빛미디어,978-89-9718-425-8,1
295,심리학개론제4판,윤서연,한빛미디어,978-89-5412-130-5,2
296,한국사개설,한예은,박영사,978-89-1627-131-1,1
297,재무관리,강도윤,교문사,978-89-7136-374-4,1
298,자연어처리개정판,권우진,학지사,978-89-4213-243-5,3
299,인사조직론제4판,윤시우,위키북스,978-89-9727-857-9,2
300,심리학개론제4판,조소희,민음사,978-89-2689-448-6,1
